model;url
iPhone 4G;https://www.trocafone.com/celulares/iphone/m/iphone-4g#8-iphone-4g-8gb-preto-muito-bom-6
iPhone 4S;https://www.trocafone.com/celulares/iphone/m/iphone-4s#14-iphone-4s-8gb-preto-bom-15
iPhone 5;https://www.trocafone.com/celulares/iphone/m/iphone-5#22-iphone-5-16gb-preto-bom-15
iPhone 5c;https://www.trocafone.com/celulares/iphone/m/iphone-5c#288-iphone-5c-8gb-branco-bom-15
iPhone 5s;https://www.trocafone.com/celulares/iphone/m/iphone-5s#45-iphone-5s-64gb-dourado-muito-bom-6
Samsung Galaxy S5;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s5/m/galaxy-s5#124-samsung-galaxy-s5-dourado-bom-15
Samsung Galaxy S4 i9515;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s4/m/galaxy-s4-i9515#56-samsung-galaxy-s4-i9515-preto-bom-15
Samsung Galaxy S5 Duos;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s5/m/galaxy-s5-duos#58-samsung-galaxy-s5-duos-preto-bom-15
Samsung Galaxy Note 3;https://www.trocafone.com/celulares/samsung/galaxy-note/m/galaxy-note-3#63-samsung-galaxy-note-3-32gb-branco-bom-15
Samsung Galaxy S5 Mini Duos;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s5/m/galaxy-s5-mini-duos#65-samsung-galaxy-s5-mini-duos-branco-bom-15
Samsung Galaxy Win Duos;https://www.trocafone.com/celulares/samsung/m/galaxy-win-duos#149-samsung-galaxy-win-duos-branco-excelente-5
Motorola Moto G2 3G Dual;https://www.trocafone.com/celulares/motorola/moto-g/moto-g2/m/moto-g-2a-geracao
Samsung Galaxy S3 i9300;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s3/m/galaxy-s3-i9300#71-samsung-galaxy-s3-i9300-branco-bom-15
Samsung Galaxy S3 Mini;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s3/m/galaxy-s3-mini#111-samsung-galaxy-s3-mini-branco-bom-15
Samsung Galaxy S4 i9500;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s4/m/galaxy-s4-i9500#113-samsung-galaxy-s4-i9500-preto-muito-bom-6
Samsung Galaxy S4 i9505;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s4/m/galaxy-s4-i9505#114-samsung-galaxy-s4-i9505-preto-muito-bom-6
Samsung Galaxy S4 Mini;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s4/m/galaxy-s4-mini#116-samsung-galaxy-s4-mini-preto-muito-bom-6
Samsung Galaxy S4 Mini Duos;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s4/m/galaxy-s4-mini-duos#119-samsung-galaxy-s4-mini-duos-preto-bom-15
Samsung Galaxy S5 Mini;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s5/m/galaxy-s5-mini
Samsung Galaxy Note 2 N7100;https://www.trocafone.com/celulares/samsung/galaxy-note/m/galaxy-note-ii-n7100#135-samsung-galaxy-note-ii-n7100-cinza-muito-bom-6
Samsung Galaxy Grand Duos i9082;https://www.trocafone.com/celulares/samsung/m/galaxy-grand-duos-i9082#150-samsung-galaxy-grand-duos-i9082-preto-bom-15
iPhone 6;https://www.trocafone.com/celulares/iphone/m/6
iPhone 6 Plus;https://www.trocafone.com/celulares/iphone/m/6-plus#172-iphone-6-plus-16gb-cinza-espacial-bom-15
iPad 2 Wi-Fi;https://www.trocafone.com/tablets/ipad/ipad-2/m/2-wi-fi
iPad 2 Wi-Fi + 3G;https://www.trocafone.com/tablets/ipad/ipad-2/m/2-wi-fi-3g
iPad 3 Wi-Fi;https://www.trocafone.com/tablets/ipad/ipad-3/m/3-wi-fi
iPad 3 Wi-Fi + 4G;https://www.trocafone.com/tablets/ipad/ipad-3/m/3-wi-fi-4g
iPad 4 Wi-Fi;https://www.trocafone.com/tablets/ipad/ipad-4/m/4-wi-fi
iPad 4 Wi-Fi + 4G;https://www.trocafone.com/tablets/ipad/ipad-4/m/4-wi-fi-4g
Samsung Galaxy Note 4;https://www.trocafone.com/celulares/samsung/galaxy-note/m/galaxy-note-4#225-samsung-galaxy-note-4-branco-bom-15
Samsung Galaxy Mega Duos;https://www.trocafone.com/celulares/samsung/m/galaxy-mega-duos
Sony Xperia Z3 TV;https://www.trocafone.com/celulares/sony/m/xperia-z3-tv#237-sony-xperia-z3-tv-preto-muito-bom-6
Motorola Moto MAXX ;https://www.trocafone.com/celulares/motorola/m/moto-maxx-2a-geracao
Sony Xperia Z2;https://www.trocafone.com/celulares/sony/m/xperia-z2
Samsung Galaxy A7;https://www.trocafone.com/celulares/samsung/galaxy-a/galaxy-a7/m/a7#231-samsung-galaxy-a7-preto-bom-15
Samsung Galaxy A3 Duos;https://www.trocafone.com/celulares/samsung/galaxy-a/galaxy-a3/m/a3-duos#572-samsung-galaxy-a3-duos-branco-bom-15
Motorola Moto E2 3G Dual;https://www.trocafone.com/celulares/motorola/moto-e/moto-e2/m/moto-e-2a-geracao-3g-dual#234-motorola-moto-e2-8gb-3g-dual-preto-muito-bom-6
Motorola Moto X2;https://www.trocafone.com/celulares/motorola/moto-x/m/moto-x-2a-geracao#239-motorola-moto-x2-32gb-bambu-bom-15
LG G3 D855;https://www.trocafone.com/celulares/lg/lg-g/lg-g3/m/g3-d855#245-lg-g3-d855-branco-bom-15
Samsung Galaxy A5;https://www.trocafone.com/celulares/samsung/galaxy-a/galaxy-a5/m/a5#250-samsung-galaxy-a5-branco-bom-15
Samsung Galaxy E7;https://www.trocafone.com/celulares/samsung/m/e7#252-samsung-galaxy-e7-branco-bom-15
LG G3 Beat D724;https://www.trocafone.com/celulares/lg/lg-g/lg-g3/m/g3-beat-d724
Samsung Galaxy S6 Edge;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s6/m/galaxy-s6-edge#260-samsung-galaxy-s6-edge-64gb-branco-bom-15
Samsung Galaxy S6 Flat;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s6/m/galaxy-s6-flat#265-samsung-galaxy-s6-flat-dourado-bom-15
Samsung Galaxy Note Edge;https://www.trocafone.com/celulares/samsung/galaxy-note/m/galaxy-note-4-edge#267-samsung-galaxy-note-edge-preto-bom-15
Samsung Galaxy Tab 4  10.1 Wi-Fi + 3G;https://www.trocafone.com/tablets/samsung/galaxy-tab-4/m/tablet-galaxy-tab-4-101-wifi-3g
Samsung Galaxy Tab 4 10.1 Wi-Fi;https://www.trocafone.com/tablets/samsung/galaxy-tab-4/m/tablet-galaxy-tab-4-101-wifi
Samsung Galaxy Tab Pro 10.1 Wi-Fi;https://www.trocafone.com/celulares/samsung/m/tablet-galaxy-tab-pro-101-wifi#275-samsung-galaxy-tab-pro-101-wi-fi-branco-excelente-5
Samsung Galaxy Tab S 8.4 Wi-Fi + 4G;https://www.trocafone.com/tablets/samsung/galaxy-tab-s/m/tablet-galaxy-tab-s-84-wifi-4g
Samsung Galaxy Tab S 10.5 Wi-Fi + 4G;https://www.trocafone.com/tablets/samsung/galaxy-tab-s/m/tablet-galaxy-tag-s-105-wifi-4g
Samsung Galaxy Tab S 10.5 Wi-Fi;https://www.trocafone.com/tablets/samsung/galaxy-tab-s/m/tablet-galaxy-tag-s-105-wifi
Samsung Galaxy Tab 3 10.1 Wi-Fi + 3G;https://www.trocafone.com/tablets/samsung/galaxy-tab-3/m/galaxy-tab-3-101-wifi-3g
iPad Air 2 Wi-Fi;https://www.trocafone.com/tablets/ipad/ipad-air/m/air-2-wifi#310-ipad-air-2-wi-fi-64gb-cinza-espacial-excelente-5
iPad Air 2 Wi-Fi + 4G;https://www.trocafone.com/tablets/ipad/ipad-air/m/ipad-air-2-4g#300-ipad-air-2-wi-fi-4g-16gb-prateado-muito-bom-6
iPad Air Wi-Fi;https://www.trocafone.com/tablets/ipad/ipad-air/m/ipad-air-wi-fi
iPad Air Wi-Fi + 4G;https://www.trocafone.com/tablets/ipad/ipad-air/m/ipad-air-wi-fi-4g#320-ipad-air-wi-fi-4g-16gb-prateado-muito-bom-6
iPad Mini 3 Wi-Fi;https://www.trocafone.com/tablets/ipad/ipad-mini/ipad-mini-3/m/ipad-mini-3-wi-fi#333-ipad-mini-3-wi-fi-128gb-cinza-espacial-excelente-5
iPad Mini 3 Wi-Fi + 4G;https://www.trocafone.com/tablets/ipad/ipad-mini/ipad-mini-3/m/ipad-mini-3-wi-fi-4g#337-ipad-mini-3-wi-fi-4g-16gb-dourado-excelente-5
iPad Mini 2 Wi-Fi;https://www.trocafone.com/tablets/ipad/ipad-mini/ipad-mini-2/m/ipad-mini-2-wi-fi
iPad Mini 2 Wi-Fi + 4G;https://www.trocafone.com/tablets/ipad/ipad-mini/ipad-mini-2/m/ipad-mini-2-wi-fi-4g
iPad Mini Wi-Fi;https://www.trocafone.com/tablets/ipad/ipad-mini/ipad-mini-1/m/ipad-mini-wi-fi
iPad Mini Wi-Fi + 4G;https://www.trocafone.com/tablets/ipad/ipad-mini/ipad-mini-1/m/ipad-mini-wi-fi-4g
Samsung Galaxy Gran Prime Duos;https://www.trocafone.com/celulares/samsung/m/gran-prime-duos
Samsung Galaxy Gran Prime Duos TV;https://www.trocafone.com/celulares/samsung/m/samsung-gran-prime-duos-tv#364-samsung-galaxy-gran-prime-duos-tv-branco-excelente-5
LG Nexus 5 D821;https://www.trocafone.com/celulares/lg/lg-nexus/m/lg-nexus-5-d821
