sku,model,color_id,color_name,storage_id,storage_name,trocable_id,product_id,cellphone_condition_id,cellphone_condition_type,enable_membership,product_name,condition_name,price_new,price_current,price_invoice_current,price_one_installment_current,featured,discount,stock,super_discount,installments,installment_value,interest,installments_info,urlHash,url,title,images
71.0,iPhone 4G,1.0,Preto,15.0,8GB,71.0,8.0,5.0,used,False,iPhone 4G 8GB Preto,Excelente,700,319,319.00,319.00,False,54.0,0.0,True,12.0,26.58,0,"{""gatewayMethod"": ""min"", ""installments"": [{""amount"": 1, ""interest"": 0}, {""amount"": 2, ""interest"": 0}, {""amount"": 3, ""interest"": 0}, {""amount"": 4, ""interest"": 0}, {""amount"": 5, ""interest"": 0}, {""amount"": 6, ""interest"": 0}, {""amount"": 7, ""interest"": 0}, {""amount"": 8, ""interest"": 0}, {""amount"": 9, ""interest"": 0}, {""amount"": 10, ""interest"": 0}, {""amount"": 11, ""interest"": 0}, {""amount"": 12, ""interest"": 0}]}",#8-iphone-4g-8gb-preto-excelente-5,https://www.trocafone.com/celulares/iphone/m/iphone-4g#8-iphone-4g-8gb-preto-excelente-5,Comprar iPhone 4G 8GB Preto em oferta | Trocafone,"[{""original"": ""https://imagens.trocafone.com/images/phones/583442f3-preto-frente.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-583442f3-preto-frente.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-583442f3-preto-frente.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/583442f6-preto-lado.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-583442f6-preto-lado.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-583442f6-preto-lado.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/583442f8-preto-traseira.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-583442f8-preto-traseira.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-583442f8-preto-traseira.png""}]"
74.0,iPhone 4G,1.0,Preto,15.0,8GB,74.0,8.0,6.0,used,False,iPhone 4G 8GB Preto,Muito Bom,700,289,289.00,289.00,False,58.0,1.0,True,12.0,24.08,0,"{""gatewayMethod"": ""min"", ""installments"": [{""amount"": 1, ""interest"": 0}, {""amount"": 2, ""interest"": 0}, {""amount"": 3, ""interest"": 0}, {""amount"": 4, ""interest"": 0}, {""amount"": 5, ""interest"": 0}, {""amount"": 6, ""interest"": 0}, {""amount"": 7, ""interest"": 0}, {""amount"": 8, ""interest"": 0}, {""amount"": 9, ""interest"": 0}, {""amount"": 10, ""interest"": 0}, {""amount"": 11, ""interest"": 0}, {""amount"": 12, ""interest"": 0}]}",#8-iphone-4g-8gb-preto-muito-bom-6,https://www.trocafone.com/celulares/iphone/m/iphone-4g#8-iphone-4g-8gb-preto-muito-bom-6,Comprar iPhone 4G 8GB Preto em oferta | Trocafone,"[{""original"": ""https://imagens.trocafone.com/images/phones/583442f3-preto-frente.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-583442f3-preto-frente.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-583442f3-preto-frente.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/583442f6-preto-lado.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-583442f6-preto-lado.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-583442f6-preto-lado.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/583442f8-preto-traseira.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-583442f8-preto-traseira.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-583442f8-preto-traseira.png""}]"
80.0,iPhone 4G,2.0,Branco,15.0,8GB,80.0,9.0,6.0,used,False,iPhone 4G 8GB Branco,Muito Bom,700,289,289.00,289.00,False,58.0,0.0,True,12.0,24.08,0,"{""gatewayMethod"": ""min"", ""installments"": [{""amount"": 1, ""interest"": 0}, {""amount"": 2, ""interest"": 0}, {""amount"": 3, ""interest"": 0}, {""amount"": 4, ""interest"": 0}, {""amount"": 5, ""interest"": 0}, {""amount"": 6, ""interest"": 0}, {""amount"": 7, ""interest"": 0}, {""amount"": 8, ""interest"": 0}, {""amount"": 9, ""interest"": 0}, {""amount"": 10, ""interest"": 0}, {""amount"": 11, ""interest"": 0}, {""amount"": 12, ""interest"": 0}]}",#9-iphone-4g-8gb-branco-muito-bom-6,https://www.trocafone.com/celulares/iphone/m/iphone-4g#9-iphone-4g-8gb-branco-muito-bom-6,Comprar iPhone 4G 8GB Branco em oferta | Trocafone,"[{""original"": ""https://imagens.trocafone.com/images/phones/58344285-branco-frente.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-58344285-branco-frente.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-58344285-branco-frente.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/58344287-branco-lado.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-58344287-branco-lado.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-58344287-branco-lado.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/58344289-branco-traseira.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-58344289-branco-traseira.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-58344289-branco-traseira.png""}]"
81.0,iPhone 4G,2.0,Branco,15.0,8GB,81.0,9.0,5.0,used,False,iPhone 4G 8GB Branco,Excelente,700,319,319.00,319.00,False,54.0,0.0,True,12.0,26.58,0,"{""gatewayMethod"": ""min"", ""installments"": [{""amount"": 1, ""interest"": 0}, {""amount"": 2, ""interest"": 0}, {""amount"": 3, ""interest"": 0}, {""amount"": 4, ""interest"": 0}, {""amount"": 5, ""interest"": 0}, {""amount"": 6, ""interest"": 0}, {""amount"": 7, ""interest"": 0}, {""amount"": 8, ""interest"": 0}, {""amount"": 9, ""interest"": 0}, {""amount"": 10, ""interest"": 0}, {""amount"": 11, ""interest"": 0}, {""amount"": 12, ""interest"": 0}]}",#9-iphone-4g-8gb-branco-excelente-5,https://www.trocafone.com/celulares/iphone/m/iphone-4g#9-iphone-4g-8gb-branco-excelente-5,Comprar iPhone 4G 8GB Branco em oferta | Trocafone,"[{""original"": ""https://imagens.trocafone.com/images/phones/58344285-branco-frente.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-58344285-branco-frente.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-58344285-branco-frente.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/58344287-branco-lado.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-58344287-branco-lado.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-58344287-branco-lado.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/58344289-branco-traseira.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-58344289-branco-traseira.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-58344289-branco-traseira.png""}]"
87.0,iPhone 4G,1.0,Preto,16.0,16GB,87.0,10.0,6.0,used,False,iPhone 4G 16GB Preto,Muito Bom,750,339,339.00,339.00,False,54.0,1.0,True,12.0,28.25,0,"{""gatewayMethod"": ""min"", ""installments"": [{""amount"": 1, ""interest"": 0}, {""amount"": 2, ""interest"": 0}, {""amount"": 3, ""interest"": 0}, {""amount"": 4, ""interest"": 0}, {""amount"": 5, ""interest"": 0}, {""amount"": 6, ""interest"": 0}, {""amount"": 7, ""interest"": 0}, {""amount"": 8, ""interest"": 0}, {""amount"": 9, ""interest"": 0}, {""amount"": 10, ""interest"": 0}, {""amount"": 11, ""interest"": 0}, {""amount"": 12, ""interest"": 0}]}",#10-iphone-4g-16gb-preto-muito-bom-6,https://www.trocafone.com/celulares/iphone/m/iphone-4g#10-iphone-4g-16gb-preto-muito-bom-6,Comprar iPhone 4G 16GB Preto em oferta | Trocafone,"[{""original"": ""https://imagens.trocafone.com/images/phones/preto-frente.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-preto-frente.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-preto-frente.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/preto-lado.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-preto-lado.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-preto-lado.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/preto-traseira.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-preto-traseira.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-preto-traseira.png""}]"
88.0,iPhone 4G,1.0,Preto,16.0,16GB,88.0,10.0,5.0,used,False,iPhone 4G 16GB Preto,Excelente,750,379,379.00,379.00,False,49.0,0.0,True,12.0,31.58,0,"{""gatewayMethod"": ""min"", ""installments"": [{""amount"": 1, ""interest"": 0}, {""amount"": 2, ""interest"": 0}, {""amount"": 3, ""interest"": 0}, {""amount"": 4, ""interest"": 0}, {""amount"": 5, ""interest"": 0}, {""amount"": 6, ""interest"": 0}, {""amount"": 7, ""interest"": 0}, {""amount"": 8, ""interest"": 0}, {""amount"": 9, ""interest"": 0}, {""amount"": 10, ""interest"": 0}, {""amount"": 11, ""interest"": 0}, {""amount"": 12, ""interest"": 0}]}",#10-iphone-4g-16gb-preto-excelente-5,https://www.trocafone.com/celulares/iphone/m/iphone-4g#10-iphone-4g-16gb-preto-excelente-5,Comprar iPhone 4G 16GB Preto em oferta | Trocafone,"[{""original"": ""https://imagens.trocafone.com/images/phones/preto-frente.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-preto-frente.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-preto-frente.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/preto-lado.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-preto-lado.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-preto-lado.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/preto-traseira.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-preto-traseira.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-preto-traseira.png""}]"
94.0,iPhone 4G,2.0,Branco,16.0,16GB,94.0,11.0,6.0,used,False,iPhone 4G 16GB Branco,Muito Bom,750,339,339.00,339.00,False,54.0,0.0,True,12.0,28.25,0,"{""gatewayMethod"": ""min"", ""installments"": [{""amount"": 1, ""interest"": 0}, {""amount"": 2, ""interest"": 0}, {""amount"": 3, ""interest"": 0}, {""amount"": 4, ""interest"": 0}, {""amount"": 5, ""interest"": 0}, {""amount"": 6, ""interest"": 0}, {""amount"": 7, ""interest"": 0}, {""amount"": 8, ""interest"": 0}, {""amount"": 9, ""interest"": 0}, {""amount"": 10, ""interest"": 0}, {""amount"": 11, ""interest"": 0}, {""amount"": 12, ""interest"": 0}]}",#11-iphone-4g-16gb-branco-muito-bom-6,https://www.trocafone.com/celulares/iphone/m/iphone-4g#11-iphone-4g-16gb-branco-muito-bom-6,Comprar iPhone 4G 16GB Branco em oferta | Trocafone,"[{""original"": ""https://imagens.trocafone.com/images/phones/58342c56-branco-frente.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-58342c56-branco-frente.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-58342c56-branco-frente.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/58342c58-branco-lado.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-58342c58-branco-lado.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-58342c58-branco-lado.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/58342c5a-branco-traseira.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-58342c5a-branco-traseira.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-58342c5a-branco-traseira.png""}]"
95.0,iPhone 4G,2.0,Branco,16.0,16GB,95.0,11.0,5.0,used,False,iPhone 4G 16GB Branco,Excelente,750,379,379.00,379.00,False,49.0,0.0,True,12.0,31.58,0,"{""gatewayMethod"": ""min"", ""installments"": [{""amount"": 1, ""interest"": 0}, {""amount"": 2, ""interest"": 0}, {""amount"": 3, ""interest"": 0}, {""amount"": 4, ""interest"": 0}, {""amount"": 5, ""interest"": 0}, {""amount"": 6, ""interest"": 0}, {""amount"": 7, ""interest"": 0}, {""amount"": 8, ""interest"": 0}, {""amount"": 9, ""interest"": 0}, {""amount"": 10, ""interest"": 0}, {""amount"": 11, ""interest"": 0}, {""amount"": 12, ""interest"": 0}]}",#11-iphone-4g-16gb-branco-excelente-5,https://www.trocafone.com/celulares/iphone/m/iphone-4g#11-iphone-4g-16gb-branco-excelente-5,Comprar iPhone 4G 16GB Branco em oferta | Trocafone,"[{""original"": ""https://imagens.trocafone.com/images/phones/58342c56-branco-frente.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-58342c56-branco-frente.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-58342c56-branco-frente.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/58342c58-branco-lado.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-58342c58-branco-lado.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-58342c58-branco-lado.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/58342c5a-branco-traseira.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-58342c5a-branco-traseira.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-58342c5a-branco-traseira.png""}]"
101.0,iPhone 4G,1.0,Preto,17.0,32GB,101.0,12.0,6.0,used,False,iPhone 4G 32GB Preto,Muito Bom,899,379,379.00,379.00,False,57.0,0.0,True,12.0,31.58,0,"{""gatewayMethod"": ""min"", ""installments"": [{""amount"": 1, ""interest"": 0}, {""amount"": 2, ""interest"": 0}, {""amount"": 3, ""interest"": 0}, {""amount"": 4, ""interest"": 0}, {""amount"": 5, ""interest"": 0}, {""amount"": 6, ""interest"": 0}, {""amount"": 7, ""interest"": 0}, {""amount"": 8, ""interest"": 0}, {""amount"": 9, ""interest"": 0}, {""amount"": 10, ""interest"": 0}, {""amount"": 11, ""interest"": 0}, {""amount"": 12, ""interest"": 0}]}",#12-iphone-4g-32gb-preto-muito-bom-6,https://www.trocafone.com/celulares/iphone/m/iphone-4g#12-iphone-4g-32gb-preto-muito-bom-6,Comprar iPhone 4G 32GB Preto em oferta | Trocafone,"[{""original"": ""https://imagens.trocafone.com/images/phones/583441c2-preto-frente.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-583441c2-preto-frente.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-583441c2-preto-frente.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/583441c4-preto-lado.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-583441c4-preto-lado.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-583441c4-preto-lado.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/583441c6-preto-traseira.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-583441c6-preto-traseira.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-583441c6-preto-traseira.png""}]"
102.0,iPhone 4G,1.0,Preto,17.0,32GB,102.0,12.0,5.0,used,False,iPhone 4G 32GB Preto,Excelente,899,439,439.00,439.00,False,51.0,0.0,True,12.0,36.58,0,"{""gatewayMethod"": ""min"", ""installments"": [{""amount"": 1, ""interest"": 0}, {""amount"": 2, ""interest"": 0}, {""amount"": 3, ""interest"": 0}, {""amount"": 4, ""interest"": 0}, {""amount"": 5, ""interest"": 0}, {""amount"": 6, ""interest"": 0}, {""amount"": 7, ""interest"": 0}, {""amount"": 8, ""interest"": 0}, {""amount"": 9, ""interest"": 0}, {""amount"": 10, ""interest"": 0}, {""amount"": 11, ""interest"": 0}, {""amount"": 12, ""interest"": 0}]}",#12-iphone-4g-32gb-preto-excelente-5,https://www.trocafone.com/celulares/iphone/m/iphone-4g#12-iphone-4g-32gb-preto-excelente-5,Comprar iPhone 4G 32GB Preto em oferta | Trocafone,"[{""original"": ""https://imagens.trocafone.com/images/phones/583441c2-preto-frente.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-583441c2-preto-frente.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-583441c2-preto-frente.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/583441c4-preto-lado.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-583441c4-preto-lado.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-583441c4-preto-lado.png""}, {""original"": ""https://imagens.trocafone.com/images/phones/583441c6-preto-traseira.png"", ""detail"": ""https://imagens.trocafone.com/images/phones/dt-583441c6-preto-traseira.png"", ""thumbnail"": ""https://imagens.trocafone.com/images/phones/th-583441c6-preto-traseira.png""}]"
